ID;Country;Latitude;Longitude;Page;Battle;Year;Participants;War;Winner;Loser;Participant 1;Participant 2;Lehmann Zhukov Scale;Theatre;Polygon;Massacre;Alternative Sources Consulted;Infered Scale;Minor
Kresna1913;Bulgaria;41.7204847;23.1664374;546;Kresna;1913;['Balkan', 'Bulgaria', 'Macedonia', 'Kilkis'];2nd Balkan War;Greece;Bulgaria;;;3;Land;;No;Encyclopedia of Warfare, Showalter, 2014, p750;;
Kressenbrunn1260;Austria;48.462159;16.5526652;546;Kressenbrunn;1260;['Bohemia'];Bohemian Wars;Bohemia;Hungary;;;;Land;;No;;;
Kringen1612;Norway;62.1707497;7.9913799;547;Kringen;1612;['Sweden', 'Denmark', 'Scottish', 'Danish', 'Norway', 'Sweden', 'Norwegian', 'Norwegian'];War of Kalmar;Norwegian Militia;Scottish Mercenaries;;;1;Land;;No;Harbottle's Dictionary of Battles, George Bruce, 1979, p135;;
Krishna1398;India;16.6099914;80.7214417;547;Krishna;1398;['Hindu', 'Kauthal', 'Muslim', 'Bahmani', 'Hindu'];Vijayanagar-                      Bahmani Wars;Bahmani;Vijayanagar;;;;Land;;No;;;
Krithia (1st)1915;Turkey;40.094605;26.224923;547;Krithia (1st);1915;['British', 'Turkish', 'Turks'];World War I;Ottoman Empire;United Kingdom, France;;;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p416;;
Krithia (2nd)1915;Turkey;40.094605;26.224923;547;Krithia (2nd);1915;['British', 'Turkish'];World War I;Ottoman Empire;United Kingdom, Australia, New Zealand;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p417;;
Krithia (3rd)1915;Turkey;40.094605;26.224923;547;Krithia (3rd);1915;['Krithia', 'British', 'French', 'Turkish'];World War I;Ottoman Empire;United Kingdom, France;;;3;Land;;No;Clodfelter, Warfare and Armed Conflict, p416;;
Krivoy Rog1944;Ukraine;47.910483;33.391783;547;Krivoy Rog;1944;['Russians', 'German', 'Romanian'];World War II;USSR;Germany, Romania;;;;Land;;No;;;
Kromeriz1423;Czechia;49.2916582;17.39938;547;Kromeriz;1423;['Austria', 'German', 'Olomouc', 'Opava'];Hussite Wars;Hussite Nobles;Hungary;;;;Land;;No;;;
Krommydi1825;Greece;38.087774;20.7452105;548;Krommydi;1825;['Navarino', 'Egyptian', 'Navarino', 'Ibrahims', 'Egyptian', 'Navarino'];Greek War of Independence;Mamluke Egypt, Ottoman Empire;Greek Rebels;;;2;Land;;No;Clodfelter, Warfare and Armed Conflict, p191;;
Kronstadt Bay1790;Russia;59.9959303;29.7655453;548;Kronstadt Bay;1790;['Swedish', 'Fredrik-', 'Russian', 'Cape', 'Russian'];2nd Russo-Swedish Wars;Draw;;Sweden;Russia;;Sea;;No;;;
Kronstadt1919;Russia;59.9959303;29.7655453;548;Kronstadt;1919;['White', 'British', 'Andrei', 'Petropavlovsk', 'Victoria'];Russian Civil War;United Kingdom;Bolsheviks;;;1;Sea;;No;Clodfelter, Warfare and Armed Conflict, p342;1;
